"year","year_type","grid","squirrel_id","sex","cache_size_total","cache_size_new","cache_size_old","total_cones_tree","log_cache_size_new","log_cache_size_old","log_total_cones_tree"
2012,"non-mast","KL",10318,"F",3295.0070948401,2902.74434545437,392.262749385726,129.998,7.9737563367575,5.97447796197414,4.87518205590903
2009,"non-mast","SU",10325,"M",15233.451877563,14616.8597777569,616.592099806122,38.197,9.58999933255739,6.42582820686405,3.66860021325556
2008,"non-mast","KL",10341,"M",7027.69913284907,6276.18217355596,751.516959293108,43.465,8.74467646028861,6.62342353363566,3.7947023628516
2008,"non-mast","KL",10342,"F",3884.6529472416,295.137903589197,3589.5150436524,43.465,5.69082523633482,8.18605093739047,3.7947023628516
2009,"non-mast","KL",10342,"F",8839.43134518939,8106.40533119808,733.026013991315,93.163,9.00053316141864,6.59854446939155,4.54502732310718
2010,"mast","KL",10342,"F",6484.52539885887,3776.70160592879,2707.82379293008,1871.957,8.2368710629223,7.90426979490869,7.53527374435888
2011,"post-mast","KL",10342,"F",10777.8008301467,0,10777.8008301467,0.037,0,9.2853365980292,0.0363319292473902
2013,"non-mast","KL",10342,"F",36818.2878028273,31520.2099587046,5298.07784412269,152.574,10.3584159302498,8.57528809272694,5.03418253555231
2014,"mast","KL",10342,"F",2944.71951396483,2944.71951396483,0,1496.201,7.98810838338088,0,7.31135264394349
2009,"non-mast","SU",10358,"M",5799.55457145196,5760.07740543341,39.4771660185467,38.197,8.65887978575276,3.70073801310518,3.66860021325556
2012,"non-mast","SU",10358,"M",15573.3547493889,96.4294411726867,15476.9253082162,36.241,4.57912843574069,9.64717011414466,3.61741030489474
2009,"non-mast","SU",10362,"F",1203.09908663099,1203.09908663099,0,38.197,7.09348692034875,0,3.66860021325556
2008,"non-mast","KL",10370,"M",8984.07141633298,7.7885317870247,8976.28288454596,43.465,2.17344766555279,9.10245254140745,3.7947023628516
2009,"non-mast","KL",10374,"F",244.193378969657,65.7443712610614,178.449007708595,93.163,4.20086996804777,5.18989108795222,4.54502732310718
2010,"mast","KL",10374,"F",747.355439857884,195.122356219054,552.233083638831,1871.957,5.27873873088103,6.31577940212177,7.53527374435888
2011,"post-mast","KL",10374,"F",76.9690200129499,0,76.9690200129499,0.037,0,4.35631156847184,0.0363319292473902
2012,"non-mast","KL",10374,"F",71.5694076395925,23.8564692131975,47.712938426395,129.998,3.2131180491735,3.88594467090957,4.87518205590903
2015,"post-mast","KL",10374,"F",412.214044397586,0,412.214044397586,0.006,0,6.02396572601342,0.00598207167754747
2009,"non-mast","KL",10375,"F",3079.98798514831,3060.32848737076,19.6594977775424,93.163,8.02660424693183,3.02817515446778,4.54502732310718
2010,"mast","KL",10375,"F",16686.2421303074,11404.0713260705,5282.17080423693,1871.957,9.34181338862883,8.57228172755914,7.53527374435888
2011,"post-mast","KL",10375,"F",2976.59358942938,0,2976.59358942938,0.037,0,7.99887073295357,0.0363319292473902
2008,"non-mast","KL",10377,"F",13976.5202918158,8697.10110822773,5279.41918358808,43.465,9.07086001739765,8.5717607643801,3.7947023628516
2009,"non-mast","KL",10377,"F",2096.36541549408,1920.54121935587,175.824196138213,93.163,7.56088286143022,5.17515599682499,4.54502732310718
2009,"non-mast","KL",10391,"F",4308.86203963121,3253.63051972153,1055.23151990968,93.163,8.08783403659345,6.96246268257483,4.54502732310718
2008,"non-mast","KL",10408,"F",7670.04302035297,7670.04302035297,0,43.465,8.94520787212412,0,3.7947023628516
2008,"non-mast","KL",10451,"F",2422.79789069462,2414.47212474722,8.3257659474042,43.465,7.7896500437694,2.23278110128846,3.7947023628516
2009,"non-mast","KL",10461,"F",494.964467557767,465.266599504301,29.697868053466,93.163,6.14475757247828,3.42419320766926,4.54502732310718
