"year","grid","num_trees","cone_counts","cone_index_t","cone_index_tm1","total_cones"
2018,"KL",84,2.07142857142857,0.488709492982028,2.04476444590038,4.477
2018,"SU",83,0.831325301204819,0.247520837372256,1.47066329700388,1.639
2019,"CH",106,517.056603773585,5.7704883969405,0.188447670049598,2376.632
2019,"KL",84,729.428571428572,5.80099961188205,0.488709492982028,3648.279
2019,"SU",87,488.241379310345,5.20615099117919,0.247520837372256,2333.26
2020,"CH",81,1.90123456790123,0.40689042410657,5.7704883969405,4.328
2020,"KL",84,12.9880952380952,1.07642460773976,5.80099961188205,44.317
2020,"SU",83,7.55421686746988,1.23350998361712,5.20615099117919,18.315
2021,"CH",100,1.46,0.179676710955631,0.40689042410657,3.903
2021,"KL",84,0.119047619047619,0.0356634794470713,1.07642460773976,0.236
2021,"SU",86,0.186046511627907,0.0765029210698849,1.23350998361712,0.329
2022,"CH",96,556.53125,5.9004763331704,0.179676710955631,2604.755
2022,"KL",84,592.202380952381,5.58254500827573,0.0356634794470713,2848.786
2022,"SU",86,521.802325581395,5.57821205156016,0.0765029210698849,2459.652
2023,"CH",100,0.37,0.138779669128975,5.9004763331704,0.672
2023,"KL",84,1.96428571428571,0.525690153155618,5.58254500827573,4.085
2023,"SU",86,5.32558139534884,1.03667515853663,5.57821205156016,12.043
2024,"CH",100,24.56,2.31234311765187,0.138779669128975,69.814
2024,"KL",84,21.8333333333333,2.0977033604105,0.525690153155618,62.483
2024,"SU",86,15.1860465116279,1.74371018492743,1.03667515853663,41.215
